"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Duration","Image Gallery","Fact Sheets","Plant Guides","Characteristics Data","Active Growth Period","Flower Color","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)"
"HEMA2","","Helianthus maximiliani","Maximilian sunflower","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_hema2.pdf","../plantguide/pdf/pg_hema2.pdf","Yes","Summer and Fall","Yellow","None","Yes","Yes","Yes","Medium","Yes","Medium","Medium","Medium","6.0","8.0","18","35"
"HEHE5","","Heliopsis helianthoides","smooth oxeye","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_hehe5.pdf","../plantguide/pdf/pg_hehe5.pdf","No","","","","","","","","","","","","","","",""
"HIOD","","Hierochloe odorata","sweetgrass","NA (L48, AK, CAN, GL, SPM)","Perennial","Photo","../factsheet/pdf/fs_hiod.pdf","../plantguide/pdf/cs_hiod.pdf","Yes","Spring, Summer, Fall","Yellow","None","Yes","Yes","No","Medium","No","Low","Medium","High","5.7","7.4","16","50"
"HYPE","","Hypericum perforatum","common St. Johnswort","NA (L48, CAN, SPM), HI","Perennial","Photo","../factsheet/pdf/fs_hype.pdf","../plantguide/pdf/pg_hype.pdf","No","","","","","","","","","","","","","","",""
"ILVO","","Ilex vomitoria","yaupon","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_ilvo.pdf","../plantguide/pdf/cs_ilvo.pdf","Yes","Spring and Summer","White","None","Yes","Yes","No","Low","Yes","High","Low","Low","4.5","7.0","36","55"
"JUMI","","Juglans microcarpa","little walnut","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_jumi.pdf","../plantguide/pdf/pg_jumi.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","Yes","Low","Yes","Medium","Low","Medium","5.5","6.9","17","32"
"JUNI","","Juglans nigra","black walnut","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_juni.pdf","../plantguide/pdf/cs_juni.pdf","Yes","Spring","Yellow","None","No","Yes","No","High","No","Low","High","High","4.6","8.2","30","60"
"JUEF","","Juncus effusus","common rush","NA (L48, AK, CAN, SPM), HI","Perennial","Photo","../factsheet/pdf/fs_juef.pdf","../plantguide/pdf/cs_juef.pdf","Yes","Spring","Brown","None","Yes","Yes","Yes","Low","No","Medium","Medium","Medium","5.5","8.8","18","60"
"JURO","","Juncus roemerianus","needlegrass rush","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_juro.pdf","../plantguide/pdf/pg_juro.pdf","Yes","Spring","Green","None","No","Yes","Yes","High","No","None","Medium","High","4.0","7.0","40","60"
"JUSC2","","Juniperus scopulorum","Rocky Mountain juniper","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_jusc2.pdf","../plantguide/pdf/cs_jusc2.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","High","Yes","High","Low","Low","5.0","8.5","9","26"
"JUVI","","Juniperus virginiana","eastern redcedar","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_juvi.pdf","../plantguide/pdf/cs_juvi.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","Yes","High","Yes","High","Low","Low","4.7","8.0","15","68"
"KOMA","","Koeleria macrantha","prairie Junegrass","NA (L48, AK, CAN), HI","Perennial","Photo","../factsheet/pdf/fs_koma.pdf","../plantguide/pdf/pg_koma.pdf","Yes","Spring and Fall","Yellow","None","Yes","Yes","No","High","No","High","Medium","High","6.0","8.0","14","20"
"LECA8","","Lespedeza capitata","roundhead lespedeza","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_leca8.pdf","../plantguide/pdf/cs_leca8.pdf","Yes","Summer","White","Medium","Yes","Yes","No","Medium","No","High","Low","Low","5.7","8.2","19","45"
"LEMU11","","Leymus multicaulis","manystem wildrye","NA (L48)","Perennial","","../factsheet/pdf/fs_lemu11.pdf","../plantguide/pdf/pg_lemu11.pdf","No","","","","","","","","","","","","","","",""
"LIPU","","Liatris punctata","dotted blazing star","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_lipu.pdf","../plantguide/pdf/pg_lipu.pdf","Yes","Summer","Purple","None","Yes","Yes","Yes","Low","Yes","High","Medium","Medium","6.0","7.8","18","26"
"LIPY","","Liatris pycnostachya","prairie blazing star","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_lipy.pdf","../plantguide/pdf/pg_lipy.pdf","Yes","Summer","Purple","None","Yes","Yes","Yes","Low","Yes","Medium","Medium","Medium","6.0","8.5","16","30"
"LIPE2","","Linum perenne","blue flax","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_lipe2.pdf","../plantguide/pdf/pg_lipe2.pdf","No","","","","","","","","","","","","","","",""
"LIST2","","Liquidambar styraciflua","sweetgum","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_list2.pdf","../plantguide/pdf/cs_list2.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","Yes","Low","Yes","Low","Medium","High","4.5","7.0","40","60"
"LOIN5","","Lonicera involucrata","twinberry honeysuckle","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_loin5.pdf","../plantguide/pdf/pg_loin5.pdf","Yes","Spring","Yellow","None","No","Yes","Yes","High","Yes","Low","Medium","High","5.5","8.0","14","32"
"LOCR","","Lotus crassifolius","big deervetch","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_locr.pdf","../plantguide/pdf/pg_locr.pdf","Yes","Spring and Summer","Yellow","Low","No","Yes","Yes","High","No","Low","Medium","Medium","6.0","7.5","14","24"
"MAPO","","Maclura pomifera","Osage-orange","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_mapo.pdf","../plantguide/pdf/pg_mapo.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","No","High","Yes","Medium","Medium","Medium","4.5","7.5","24","40"
"MEPO3","","Medicago polymorpha","burclover","NA (L48, AK, CAN, GU), HI","Annual, Perennial","Photo","../factsheet/pdf/fs_mepo3.pdf","../plantguide/pdf/pg_mepo3.pdf","Yes","Fall, Winter and Spring","Yellow","High","No","Yes","Yes","None","Yes","None","Medium","Medium","5.9","8.2","12","75"
"MIST2","","Mimosa strigillosa","powderpuff","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_mist2.pdf","../plantguide/pdf/pg_mist2.pdf","No","","","","","","","","","","","","","","",""
"MURI2","","Muhlenbergia rigens","deergrass","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_muri2.pdf","../plantguide/pdf/cs_muri2.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","None","No","High","Low","Low","5.5","7.5","10","18"
"NYSY","","Nyssa sylvatica","blackgum","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_nysy.pdf","../plantguide/pdf/pg_nysy.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","No","None","Yes","Low","Medium","Medium","4.5","6.0","40","60"
"ONVI","","Onobrychis viciifolia","sainfoin","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_onvi.pdf","../plantguide/pdf/pg_onvi.pdf","Yes","Spring and Summer","Red","Medium","Yes","Yes","No","High","No","Medium","Medium","Medium","6.0","8.5","10","45"
"PAAM2","","Panicum amarum","bitter panicgrass","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_paam2.pdf","../plantguide/pdf/pg_paam2.pdf","Yes","Summer","Yellow","None","Yes","Yes","No","Low","Yes","High","Low","Medium","5.0","7.5","18","60"
"PAAN","","Panicum anceps","beaked panicgrass","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_paan.pdf","../plantguide/pdf/pg_paan.pdf","No","","","","","","","","","","","","","","",""
"PACO2","","Panicum coloratum","kleingrass","NA (L48), HI","Perennial","Photo","../factsheet/pdf/fs_paco2.pdf","../plantguide/pdf/pg_paco2.pdf","Yes","Summer","Yellow","None","No","Yes","Yes","Medium","No","High","High","Medium","6.5","8.5","19","36"
"PAHE2","","Panicum hemitomon","maidencane","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_pahe2.pdf","../plantguide/pdf/pg_pahe2.pdf","Yes","Year Round","Yellow","None","Yes","Yes","Yes","Medium","No","None","Medium","High","4.7","8.6","40","80"
"PABI2","","Pappophorum bicolor","pink pappusgrass","NA (L48)","Perennial","","../factsheet/pdf/fs_pabi2.pdf","../plantguide/pdf/pg_pabi2.pdf","No","","","","","","","","","","","","","","",""
"PAVA2","","Pappophorum vaginatum","whiplash pappusgrass","NA (L48)","Perennial","","../factsheet/pdf/fs_pava2.pdf","../plantguide/pdf/pg_pava2.pdf","No","","","","","","","","","","","","","","",""
"PAQU2","","Parthenocissus quinquefolia","Virginia creeper","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_paqu2.pdf","../plantguide/pdf/pg_paqu2.pdf","Yes","Spring and Summer","","None","No","Yes","Yes","Medium","Yes","High","Low","Low","5.0","7.5","32","60"
"PASM","","Pascopyrum smithii","western wheatgrass","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_pasm.pdf","../plantguide/pdf/pg_pasm.pdf","Yes","Spring, Summer, Fall","Yellow","None","Yes","Yes","No","High","No","Medium","Medium","Medium","4.5","9.0","12","32"
"PADI6","","Paspalum distichum","knotgrass","NA (L48, GU), HI, PR, VI","Perennial","Photo","../factsheet/pdf/fs_padi6.pdf","../plantguide/pdf/pg_padi6.pdf","Yes","Spring, Summer, Fall","Green","None","No","Yes","Yes","High","No","None","Medium","High","4.9","8.9","30","64"
"PAFL4","","Paspalum floridanum","Florida paspalum","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_pafl4.pdf","../plantguide/pdf/pg_pafl4.pdf","No","","","","","","","","","","","","","","",""
"PAVA","","Paspalum vaginatum","seashore paspalum","NA (L48, GU, PB), HI, PR, VI","Perennial","Photo","../factsheet/pdf/fs_pava.pdf","../plantguide/pdf/pg_pava.pdf","Yes","Summer","Green","None","No","Yes","Yes","High","No","None","Medium","High","5.1","6.7","40","60"
"PAIN6","","Passiflora incarnata","purple passionflower","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_pain6.pdf","../plantguide/pdf/cs_pain6.pdf","No","","","","","","","","","","","","","","",""
"PEAT3","","Penstemon attenuatus","sulphur penstemon","NA (L48)","Perennial","","../factsheet/pdf/fs_peat3.pdf","../plantguide/pdf/pg_peat3.pdf","No","","","","","","","","","","","","","","",""
"PHAR3","","Phalaris arundinacea","reed canarygrass","NA (L48, AK, CAN, SPM)","Perennial","Photo","../factsheet/pdf/fs_phar3.pdf","../plantguide/pdf/pg_phar3.pdf","Yes","Spring, Summer, Fall","Yellow","None","Yes","Yes","Yes","Medium","No","Medium","High","High","4.9","8.2","32","60"
"PHLE4","","Philadelphus lewisii","Lewis' mock orange","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_phle4.pdf","../plantguide/pdf/pg_phle4.pdf","Yes","Spring and Summer","White","None","Yes","Yes","No","Medium","Yes","Medium","Low","Low","7.0","8.0","19","69"
"PHPR3","","Phleum pratense","timothy","NA (L48, AK, CAN, GL, SPM), HI","Perennial","Photo","../factsheet/pdf/fs_phpr3.pdf","../plantguide/pdf/pg_phpr3.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","Low","No","Low","Medium","Medium","5.0","7.5","24","45"
"PHAU7","","Phragmites australis","common reed","NA (L48, CAN), HI","Perennial","Photo","../factsheet/pdf/fs_phau7.pdf","../plantguide/pdf/pg_phau7.pdf","Yes","Spring","White","Low","Yes","Yes","Yes","Medium","No","Low","Medium","Medium","4.5","8.7","12","60"
"PIPA2","","Pinus palustris","longleaf pine","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_pipa2.pdf","../plantguide/pdf/cs_pipa2.pdf","Yes","Spring and Summer","Brown","None","Yes","Yes","No","Low","Yes","Medium","Low","Medium","6.0","7.0","40","60"
"PIPO","","Pinus ponderosa","ponderosa pine","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_pipo.pdf","../plantguide/pdf/pg_pipo.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","Low","Yes","High","Low","Medium","5.0","9.0","15","25"
"PIRE","","Pinus resinosa","red pine","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_pire.pdf","../plantguide/pdf/cs_pire.pdf","Yes","Spring and Summer","Brown","None","Yes","Yes","No","None","Yes","Low","Low","Low","4.5","6.0","15","60"
"PISA6","","Pisum sativum","garden pea","NA (L48, CAN, GL)","Annual","Photo","../factsheet/pdf/fs_pisa6.pdf","../plantguide/pdf/pg_pisa6.pdf","No","","","","","","","","","","","","","","",""
"POPR","","Poa pratensis","Kentucky bluegrass","NA (L48, AK, CAN, GL, SPM), HI, PR","Perennial","Photo","../factsheet/pdf/fs_popr.pdf","../plantguide/pdf/pg_popr.pdf","Yes","Spring, Summer, Fall","Yellow","None","Yes","Yes","No","High","No","Medium","High","Medium","5.8","8.2","24","60"
"POSE","","Poa secunda","Sandberg bluegrass","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_pose.pdf","../plantguide/pdf/pg_pose.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","High","No","Medium","Medium","Medium","6.5","7.8","12","22"
"POFR2","","Populus fremontii","Fremont cottonwood","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_pofr2.pdf","../plantguide/pdf/cs_pofr2.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","Medium","No","Medium","Medium","High","6.0","8.0","20","26"
"POPE7","","Potamogeton perfoliatus","claspingleaf pondweed","NA (L48, CAN, GL, SPM)","Perennial","","../factsheet/pdf/fs_pope7.pdf","../plantguide/pdf/pg_pope7.pdf","No","","","","","","","","","","","","","","",""
"PRAM","","Prunus americana","American plum","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_pram.pdf","../plantguide/pdf/cs_pram.pdf","Yes","Spring and Summer","White","None","Yes","Yes","No","High","Yes","None","Medium","Medium","5.0","7.0","16","40"
"PRAN3","","Prunus angustifolia","Chickasaw plum","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_pran3.pdf","../plantguide/pdf/pg_pran3.pdf","Yes","Spring and Summer","White","None","Yes","Yes","No","High","Yes","None","Medium","Medium","5.0","7.5","18","45"
"PRVI","","Prunus virginiana","chokecherry","NA (L48, AK, CAN, SPM)","Perennial","Photo","../factsheet/pdf/fs_prvi.pdf","../plantguide/pdf/cs_prvi.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","High","Yes","Medium","Medium","Medium","5.2","8.4","13","65"
"PSSP6","","Pseudoroegneria spicata","bluebunch wheatgrass","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_pssp6.pdf","../plantguide/pdf/pg_pssp6.pdf","No","","","","","","","","","","","","","","",""
"PSME","","Pseudotsuga menziesii","Douglas-fir","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_psme.pdf","../plantguide/pdf/cs_psme.pdf","Yes","Spring and Summer","","None","Yes","Yes","No","Low","Yes","Low","Medium","Medium","5.0","7.5","18","100"
"PUTR2","","Purshia tridentata","antelope bitterbrush","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_putr2.pdf","../plantguide/pdf/pg_putr2.pdf","Yes","Spring and Summer","Yellow","Low","Yes","Yes","No","High","Yes","High","Medium","Low","5.6","8.4","12","24"
"PYTE","","Pycnanthemum tenuifolium","narrowleaf mountainmint","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_pyte.pdf","../plantguide/pdf/pg_pyte.pdf","No","","","","","","","","","","","","","","",""
"QUMA2","","Quercus macrocarpa","bur oak","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_quma2.pdf","../plantguide/pdf/pg_quma2.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","Medium","Yes","High","Medium","Medium","4.5","7.5","15","50"
"QUWI2","","Quercus wislizeni","interior live oak","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_quwi2.pdf","../plantguide/pdf/cs_quwi2.pdf","No","","","","","","","","","","","","","","",""
"RASA2","","Raphanus sativus","cultivated radish","NA (L48, AK, CAN, GL, GU, PB),HI, PR","Biennial, AN","Photo","../factsheet/pdf/fs_rasa2.pdf","../plantguide/pdf/pg_rasa2.pdf","No","","","","","","","","","","","","","","",""
"RACO3","","Ratibida columnifera","upright prairie coneflower","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_raco3.pdf","../plantguide/pdf/cs_raco3.pdf","Yes","Summer","Yellow","None","Yes","Yes","Yes","Low","No","Medium","Medium","Medium","5.9","7.0","16","40"
"RAPI","","Ratibida pinnata","pinnate prairie coneflower","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_rapi.pdf","../plantguide/pdf/cs_rapi.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","Low","No","Medium","Medium","Medium","5.6","6.8","18","60"
"RHARS","","Rhus aromatica var. serotina","fragrant sumac","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_rhars.pdf","../plantguide/pdf/cs_rhars.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","Medium","Yes","High","Low","Low","5.0","8.0","16","55"
"RHGL","","Rhus glabra","smooth sumac","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_rhgl.pdf","../plantguide/pdf/cs_rhgl.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","Low","No","Medium","Low","Low","5.3","7.5","30","60"
"RIAUV","","Ribes aureum var. villosum","golden currant","NA (L48, CAN)","Perennial","","../factsheet/pdf/fs_riauv.pdf","../plantguide/pdf/cs_riauv.pdf","Yes","","Red","None","Yes","Yes","Yes","","No","Medium","","","4.7","7.8","12","60"
"SALA2","","Sagittaria latifolia","broadleaf arrowhead","NA (L48, CAN), HI, PR","Perennial","Photo","../factsheet/pdf/fs_sala2.pdf","../plantguide/pdf/cs_sala2.pdf","Yes","Spring","Yellow","None","No","Yes","Yes","High","No","None","Low","High","4.7","8.9","14","50"
"SAEX","","Salix exigua","narrowleaf willow","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_saex.pdf","../plantguide/pdf/cs_saex.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","High","Yes","Medium","Low","High","6.0","8.5","20","30"
"SANI","","Salix nigra","black willow","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_sani.pdf","../plantguide/pdf/pg_sani.pdf","Yes","Spring and Summer","","None","Yes","Yes","Yes","Low","No","Low","Medium","High","4.8","8.0","18","80"
"SAAZG","","Salvia azurea var. grandiflora","pitcher sage","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_saazg.pdf","../plantguide/pdf/pg_saazg.pdf","Yes","Spring and Summer","Blue","None","No","Yes","Yes","Medium","No","Low","Medium","Medium","6.0","8.0","16","24"
"SAMI3","","Sanguisorba minor","small burnet","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_sami3.pdf","../plantguide/pdf/pg_sami3.pdf","Yes","Spring","Red","None","Yes","Yes","Yes","Medium","No","Low","Low","Medium","6.0","8.0","12","25"
"SCAR7","","Schedonorus arundinaceus","tall fescue","NA (L48, AK, CAN, SPM), HI","Perennial","","","","No","","","","","","","","","","","","","","",""
"SCAR7","LOAR10","Lolium arundinaceum","","","","","../factsheet/pdf/fs_loar10.pdf","../plantguide/pdf/pg_loar10.pdf","Yes","Spring and Fall","Yellow","None","No","Yes","Yes","High","No","Medium","Medium","Medium","5.0","9.0","30","65"
"SCSC","","Schizachyrium scoparium","little bluestem","NA (L48, CAN), HI","Perennial","Photo","../factsheet/pdf/fs_scsc.pdf","../plantguide/pdf/pg_scsc.pdf","Yes","Summer and Fall","Yellow","None","Yes","Yes","Yes","High","No","High","Low","Low","5.5","8.4","16","45"
"SCCA11","","Schoenoplectus californicus","California bulrush","NA (L48), HI","Perennial","Photo","../factsheet/pdf/fs_scca11.pdf","../plantguide/pdf/cs_scca11.pdf","Yes","Summer","Brown","None","No","Yes","Yes","Medium","No","Low","Medium","High","5.0","9.0","40","60"
"SECE","","Secale cereale","cereal rye","NA (L48, AK, CAN, GL)","Annual","Photo","../factsheet/pdf/fs_sece.pdf","../plantguide/pdf/pg_sece.pdf","Yes","Spring, Summer, Fall","Yellow","None","Yes","Yes","No","Medium","No","Medium","Medium","High","5.2","7.5","15","50"
"SEVU2","","Setaria vulpiseta","plains bristlegrass","NA (L48), PR","Perennial","Photo","../factsheet/pdf/fs_sevu2.pdf","../plantguide/pdf/pg_sevu2.pdf","Yes","Spring and Summer","Yellow","None","No","Yes","No","Medium","No","Medium","Medium","Medium","6.0","8.0","12","24"
"SHAR","","Shepherdia argentea","silver buffaloberry","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_shar.pdf","../plantguide/pdf/pg_shar.pdf","Yes","Spring and Summer","Yellow","Medium","Yes","Yes","No","High","Yes","Medium","Low","Medium","5.3","8.0","15","30"
"SILA3","","Silphium laciniatum","compassplant","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_sila3.pdf","../plantguide/pdf/pg_sila3.pdf","No","","","","","","","","","","","","","","",""
"SICA7","","Simsia calva","awnless bushsunflower","NA (L48)","Annual, Perennial","Photo","../factsheet/pdf/fs_sica7.pdf","../plantguide/pdf/pg_sica7.pdf","No","","","","","","","","","","","","","","",""
"SOCA6","","Solidago canadensis","Canada goldenrod","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_soca6.pdf","../plantguide/pdf/pg_soca6.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","Medium","No","Medium","Medium","Medium","4.8","7.5","16","60"
"SOMI2","","Solidago missouriensis","Missouri goldenrod","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_somi2.pdf","../plantguide/pdf/pg_somi2.pdf","Yes","Spring, Summer, Fall","Yellow","None","Yes","Yes","No","Medium","No","High","Low","Low","5.5","7.5","12","35"
"SOSE","","Solidago sempervirens","seaside goldenrod","NA (L48, CAN), PR","Perennial","Photo","../factsheet/pdf/fs_sose.pdf","../plantguide/pdf/pg_sose.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","Low","No","Medium","Low","Low","5.5","7.5","35","60"
"SONU2","","Sorghastrum nutans","Indiangrass","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_sonu2.pdf","../plantguide/pdf/pg_sonu2.pdf","Yes","Summer and Fall","Yellow","None","Yes","Yes","Yes","High","No","Medium","Low","Medium","5.0","8.0","15","45"
"SPAL","","Spartina alterniflora","smooth cordgrass","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_spal.pdf","../plantguide/pdf/pg_spal.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","Low","Yes","None","Medium","High","5.4","7.0","40","100"
"SPPA","","Spartina patens","saltmeadow cordgrass","NA (L48, CAN), PR, VI","Perennial","Photo","../factsheet/pdf/fs_sppa.pdf","../plantguide/pdf/pg_sppa.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","Medium","No","Medium","Medium","Medium","5.3","7.5","32","65"
"SPPE","","Spartina pectinata","prairie cordgrass","NA (L48, CAN, SPM)","Perennial","Photo","../factsheet/pdf/fs_sppe.pdf","../plantguide/pdf/pg_sppe.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","Medium","No","Low","Medium","High","6.0","8.5","14","35"
"SPAI","","Sporobolus airoides","alkali sacaton","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_spai.pdf","../plantguide/pdf/cs_spai.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","High","No","High","Medium","Low","6.6","9.0","5","13"
"SPCOC2","","Sporobolus compositus var. compositus","composite dropseed","NA (L48, CAN)","Perennial","","../factsheet/pdf/fs_spcoc2.pdf","../plantguide/pdf/pg_spcoc2.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","No","Low","No","High","Low","Low","5.5","7.0","16","50"
"SPCR","","Sporobolus cryptandrus","sand dropseed","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_spcr.pdf","../plantguide/pdf/pg_spcr.pdf","Yes","Spring","Yellow","None","Yes","Yes","No","Medium","No","High","Low","Low","6.6","8.0","8","16"
"SPJU","","Sporobolus junceus","pineywoods dropseed","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_spju.pdf","../plantguide/pdf/pg_spju.pdf","No","","","","","","","","","","","","","","",""
"STPE15","","Stuckenia pectinata","sago pondweed","NA (L48, AK, CAN, SPM), HI","Perennial","","../factsheet/pdf/fs_stpe15.pdf","../plantguide/pdf/pg_stpe15.pdf","No","","","","","","","","","","","","","","",""
"SYAL","","Symphoricarpos albus","common snowberry","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_syal.pdf","../plantguide/pdf/cs_syal.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","High","Yes","High","Medium","Medium","6.0","7.8","12","45"
"SYNO2","","Symphyotrichum novae-angliae","New England aster","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_syno2.pdf","../plantguide/pdf/cs_syno2.pdf","No","","","","","","","","","","","","","","",""
"TADI2","","Taxodium distichum","bald cypress","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_tadi2.pdf","../plantguide/pdf/pg_tadi2.pdf","Yes","Spring and Summer","Purple","None","Yes","Yes","Yes","None","Yes","Low","Medium","High","4.5","6.0","40","65"
"THIN6","","Thinopyrum intermedium","intermediate wheatgrass","NA (L48, CAN)","Perennial","","../factsheet/pdf/fs_thin6.pdf","../plantguide/pdf/pg_thin6.pdf","Yes","Spring, Summer, Fall","Yellow","None","Yes","Yes","Yes","High","Yes","Medium","Medium","Medium","5.6","8.4","12","28"
"TRHY","","Trifolium hybridum","alsike clover","NA (L48, AK, CAN, SPM), HI","Annual, Perennial","Photo","../factsheet/pdf/fs_trhy.pdf","../plantguide/pdf/pg_trhy.pdf","Yes","Spring and Summer","White","High","No","Yes","Yes","Medium","No","Low","Medium","High","5.6","7.5","26","60"
"TRIN3","","Trifolium incarnatum","crimson clover","NA (L48, CAN), HI","Annual","Photo","../factsheet/pdf/fs_trin3.pdf","../plantguide/pdf/pg_trin3.pdf","Yes","Fall, Winter and Spring","Red","Medium","Yes","Yes","Yes","None","No","Low","Medium","Medium","5.5","7.5","32","65"
"TRPR2","","Trifolium pratense","red clover","NA (L48, AK, CAN, GL, SPM), HI, PR","Biennial, Perennial","Photo","../factsheet/pdf/fs_trpr2.pdf","../plantguide/pdf/pg_trpr2.pdf","Yes","Spring and Summer","Red","Medium","Yes","Yes","Yes","Medium","No","Low","Medium","Medium","6.5","7.6","36","50"
"TRRE3","","Trifolium repens","white clover","NA (L48, AK, CAN, GL, SPM), HI","Perennial","Photo","../factsheet/pdf/fs_trre3.pdf","../plantguide/pdf/pg_trre3.pdf","Yes","Year Round","White","High","Yes","Yes","Yes","Medium","No","Medium","Medium","Medium","6.0","7.0","40","100"
"TRDA3","","Tripsacum dactyloides","eastern gamagrass","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_trda3.pdf","../plantguide/pdf/pg_trda3.pdf","Yes","Spring and Summer","Yellow","None","Yes","Yes","Yes","None","Yes","Low","High","High","5.1","7.5","16","60"
